## Copyrighted by Zeta Co., Ltd.
## For Zeta Co., Ltd. use only
## Auto-generated on 06/11/2016

တပ်မတော်ဒုတိယကာကွယ်ရေးဦးစီးချုပ်,13
အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်,180840
အထူးစုံစမ်းစစ်ဆေးရေးဦးစီးဌာန,189
ဣန္ဒြိယမဟာယရဌသဟာရဘွဲ့,1
ခြေမွေးမီးမလောင်လက်မွေးမီးမလောင်,2
တပ်မတော်စစ်ဆေးရေးအရာရှိချုပ်,10
အဘိဓဇမဟာရဌဂုရု,2
မြို့နယ်စည်ပင်သာယာအုပ်ချုပ်ရေးမှူး,130
လုံခြုံရေးနှင့်နယ်စပ်ရေးရာဝန်ကြီး,48123
အရေးတော်ပိုင်မဟာဝန်ရှင်တော်ကြီး,1
မြို့နယ်ကျန်းမာရေးဦးစီးဌာနမှူး,2
မြို့တော်စည်ပင်သာယာရေးကော်မတီ,13854
အထွေထွေအုပ်ချုပ်ရေးဦးစီးဌာန,68528
ဒိစတြိတ်ရာဇဝတ်တရားသူကြီး,1
ဒါကာရှိဟော်လီအာတီဆန်ကဖေး,2
အလုပ်သမားရေးရာဝန်ကြီးဌာန,556
သမဝါယမဦးစီးအရာရှိ,4
ခြေမကိုင်မိလက်မကိုင်မိဖြစ်,35
ပုဆိုးတန်းတင်အကြင်လင်မယား,4
တောင်သူလုပ်ငန်းသုံးပစ္စည်းရောင်းဝယ်ရေး,1
လူသုံးကုန်ပစ္စည်းဖြန့်ချိခြင်းလုပ်ငန်း,1
ကုန်ရောင်းဝယ်နှင့်မွေးမြူရေးလုပ်ငန်း,1
လျှပ်စစ်ဓါတ်အားဖြန့်ဖြူးရေးလုပ်ငန်း,5
တိုင်းဒေသကြီးလွှတ်တော်ကိုယ်စားလှယ်,17669
မြို့နယ်စိုက်ပျိုးရေးဘဏ်မန်နေဂျာ,1
ခရီးသည်နှင့်ကုန်စည်ပို့ဆောင်ရေး,78
စာအုပ်ထုတ်ဝေရေးနှင့်ဖြန့်ချိရေး,1
ဂျိုးစ်လူးဝစ်ပီးရက်ဇ်ကာမီနီရို,2
မြန်မာ့ကျောက်မျက်ရတနာပြတိုက်,23
ရင်ခေါင်းခွဲစိတ်ကုဆရာဝန်ကြီး,1
တပ်မတော်ကာကွယ်ရေးဦးစီးချုပ်,17928
အရှေ့ပိုင်းခရိုင်ကော်မတီဝင်,4
ပြည်တွင်းအခွန်များဦးစီးဌာန,2292
မြို့နယ်စည်ပင်သာယာရေးအဖွဲ့,1364
ရထားပို့ဆောင်ရေးဝန်ကြီးဌာန,27071
အငြိမ်းစားဒုတိယရဲမှူးကြီး,8
မြို့နယ်အခွန်ဦးစီးဌာနမှူး,135
ရခိုင်ပြည်နယ်အစိုးရအဖွဲ့,126148
ခုနစ်ရက်သားခုနစ်ရက်သမီး,1
ဒုတိယမြို့နယ်ပညာရေးမှူး,66
မြို့နယ်သူနာပြုဆရာမကြီး,1
လူမှုဝန်ထမ်းဦးစီးအရာရှိ,2
ခရစ်စတီယာနိုရော်နယ်ဒို,13
ဖွဲ့စည်းပုံအခြေခံဥပဒေ,71449
ဣန္ဒြိယမဟာတုလတာရာဘွဲ့,1
ဘာသာစကားသင်ကြားရေးဆရာ,1
ညီအစ်ကိုမသိတသိအချိန်,22
အထွေထွေရောဂါကုဆရာဝန်,359
စွတ်ကပါစိနံပါစိကစား,1
အမျိုးသားပညာရေးဥပဒေ,3595
သမဝါယမဦးစီးဌာန,73
ဆွေရိပ်မကင်းမျိုးရိပ်မကင်း,1
ဆယ်ရေးတစ်ရေးကိုးရေးတစ်ရာ,3
စစ်ဦးစီးအရာရှိချုပ်ကြည်း,1
ဆွေခုနစ်ဆက်မျိုးခုနစ်ဆက်,1
မီးစတစ်ဖက်ရေမှုတ်တစ်ဖက်,9
ကုန်တင်ကုန်ချအလုပ်သမား,23
သီရိပျံချီဦးစောခင်စိုး,1
စစ်ဦးစီးအရာရှိချုပ်ရေ,1
စစ်ဦးစီးအရာရှိချုပ်လေ,1
ဗြဟ္မဝိဟာရတရားလေးပါး,1
အရင်းမရှိအဖျားမရှိ,15
နိမိတ်မရှိနမာမရှိ,6
ကိမိလဗေဒပညာရှင်,2
အိမ်ဆောက်ပစ္စည်းရောင်းဝယ်ရေးလုပ်ငန်း,6
အရည်မရအဖတ်မရ,44
လျှပ်စစ်ပစ္စည်းပြုပြင်ရောင်းဝယ်ရေး,1
လမ်းခင်းကျောက်ထုပ်လုပ်ရေးလုပ်ငန်း,1
ကိုယ်လက်ကြံ့ခိုင်ရေးလေ့ကျင့်ခန်း,132
မော်တော်ယာဉ်ပြေးဆွဲခြင်းလုပ်ငန်း,1
လွတ်ငြိမ်းချမ်းသာခွင့်လက်မှတ်စာ,1
ဆိုင်ကယ်အပိုပစ္စည်းရောင်းဝယ်ရေး,1
ကမ္ဘာလှည့်ခရီးသွားဧည့်လမ်းညွှန်,1
အာရှခြင်းလုံးအဖွဲ့ချုပ်ဥက္ကဋ္ဌ,2
မြန်မာ့လျှပ်စစ်ဓါတ်အားလုပ်ငန်း,8
အမျိုးသားလွှတ်တော်ကိုယ်စားလှယ်,47546
ယာဉ်သယ်ယူပို့ဆောင်ရေးလုပ်ငန်း,1
ကျန်းမာရေးဝန်ဆောင်မှုလုပ်ငန်း,100
မွန်တိုင်းရင်းသားရေးရာဝန်ကြီး,3
မွေးမြူရေးဝန်ဆောင်မှုလုပ်ငန်း,1
ပြည်ထောင်စုမြန်မာနိုင်ငံတော်,4019
လူမှုဖွံ့ဖြိုးရေးအကျိုးဆောင်,1
မြို့နယ်ကောင်စီအတွင်းရေးမှူး,1
စာနယ်ဇင်းဖြန့်ချိရေးလုပ်ငန်း,1
ကားအငှားဝန်ဆောင်မှုလုပ်ငန်း,3
တောင်ပိုင်းမာရီအာနာကျွန်းစု,1
အထက်တန်းကျောင်းအုပ်ဆရာကြီး,44
ဗီဒီယိုဖြန့်ချီရေးလုပ်ငန်း,1
အရောင်းအဝယ်နှင့်မွေးမြူရေး,1
အားကစားတံဆိပ်ရိုက်လုပ်ငန်း,1
အထွေထွေအကျိုးဆောင်လုပ်ငန်း,6
သတ္တရတန်တောင်စဉ်ခုနှစ်ထပ်,1
ဆရာဝန်ကိုယ်ပိုင်ဆေးကုခန်း,1
အထွေထွေအတွင်းရေးမှူးချုပ်,8423
မြို့နယ်ပါတီအတွင်းရေးမှူး,19
မွေးမြူရေးအစာရောင်းဝယ်ရေး,1
ပညာရေးဝန်ဆောင်မှုလုပ်ငန်း,166
လက်ထောက်ပြည်နယ်ပညာရေးမှူး,3
ဒုတိယညွန်ကြားရေးမှူးချုပ်,3966
