a 	in.ar 	ሓዶ	አንድ
abandon	v	ምሕዳግ	መተው	
abandoned 	adj	ዝወደ	የተጣለ	
abasement	v	ውርደት	ውርደት	
abash	v	መሕፈሪ	አሳፋሪ	
abate 	v	ቀኒሲ	ቀነሰ፣ ደከመ	
abdomen 	n	ከብዲ	ሆድ	
abhorrence	n	ዕሊኢት	ጥላቻ	
abide 	vi	አይቐርን	አይቀርም	
ability 	n	ክእለት	ችሎታ	
abject	adj	ዘስቐቐ	አሰቃቂ	
able	adj	ኪኢላ	ችሎታ ያለው	
ablation 	n	ምሕፃብ	መታጠብ	
abnegate	vt	ምንዓቐ	መናቅ	
abode	vt	መንበሪ	መኖሪያ	
abolition	n	ጥፍኣት	ማጥፋት	
abominate	vt	ምዕላእ	መጥላት	
abort	iv	ጨንጊት	ጨነገፈ	
abound	adj	መሊሉ	ሞለ፣ተትረፈረፈ	
about	adj	ብዝዕባ፣ ደርጋ አስታት	ይህል፣ ገደማ ስለ	
above	adj	አብላዕሊ፣ ብዝያዳ	ላይ፣ ከላይ	
abrasion	n	መፍሓች	መፋቅ	
abridge 	v	አሕፂሩ	አሰሳጠረ	
abroad	adv	መፃኢ ሃገር	ውጭ አገር	
abrogate	vt	ሰዒሩ	ሻረ	
abupt 	adj	ሃንደበት	ድንገተኛ	
abscess 	n	ሕባጥ	እባጭ	
abscond	v	ምህዳም፣ ምሕባእ	መሸሽ	
absent 	adj	ቡኹር (ካብ ትምህርቲ ወይስ ስራሕ)፣ቀራይ	ቀሪ	
absent minded 	adj	ሃሳስ	ዝንጉ	
absorb 	v	መጢጡ	ያዘ፣ መጠጠ	
absstain 	v	ተቐጢቡ	ተጠበቀ፣ ተቆጠበ	
abundance	n	ብዝሓት	ብዛት	
abuse 	n	ዐርፈ	ስድብ	
abut 	vi	ዝተተሓሓዘ	የተያያዘ፣ ጎን	
abyss 	n	ገደል፣ አድፊ	ገደል	
acacia 	n	ሰስው፣ ልሓይ፣ ጫዓ፣ ሞና፣ ዝመስሉ አእዋም	ግራር	
accede	v	ወሪሱ፣ ተቐቢሉ	ወረሰ፣ ተቀበለ	
accelerate 	vt	ሓይሊ ወሲ ኹሉ	ፍጥነት ጨመረ	
accept	v	ሕራይ ኢሎሎ	እሺ አለ	
acceptable 	adj	ዘዝስማዕማዕ፣ ቅቡል	ተስማሚ	
accession 	adj	ምውሳኽ	መጨመር	
accident 	n	ድንገት፣ ሓደጋ	ድንገተት፣ አደጋ	
acclimate 	v	ለሚዱ	ለመደ	
accompany 	n	ምዕጃብ	ማጀብ	
accomplishment 	n	ስራሕ	ሥራ	
accord 	n	ስምምዕ	ስምምነት	
accrue 	vi	ወስኸ	ጨመረ	
accurate 	adj	ትኸክል	ትክክለኛ	
accusation 	n	ኽስ	ክስ	
accused 	adj	ተኽሳሲ	ተከሳሽ	
accuser 	n	ከሳሲ	ከሳሽ 	
ache 	n	ቀቃንዛ	ህመም	
achieve 	v	ስሪሕ፣ ጨረሱ፣ ዛዚሙ፣	ሠራ፣ ፈጸመ	
acne 	n	ፈፀጋ፣ ንፍሩር (ሕማም)	ብጉር	
acquaintance 	n	ዐዕርክነት	ጓደኝነት	
acquire 	v	ኣግኒዩ	አገኘ	
acquit 	n	ብናፃ ተለቐቑ	በነፃ ተለቀቀ	
acre 	n	ስፍሓት ልክዕ መሬት መለክዒ	የመሬት ስፋት መለኪያ	
across 	adv	ማዕዶ፣ ሰገር	ከዳር እዳር	
acting 	adj	ተጠባባቒ	ተጠበባባቂ	
active 	adj	ገጎበዝ፣ንቑሕ	ብርቱ፣ ንቁ	
adan 	n	መሀመርታ ሰብ	አዳም	
add 	v	ምውሳኽ፣ ምድማር ቑዕሪ	መጨመር፣ መደመር	
addict 	n	ውሉፍ፣ ምውላፍ	ሱሰኛ	
addition 	n	ወልፊ	ሱስ	
addition 	n	ድምር	ድምር	
address 	v	ኣድራሻ	አድራሻ	
adept 	adj	በዓልሙያ	በባለሙያ	
adjure 	vt	ለሚኑ	ለመነ	
adjust 	vt	ኣስተኻኺሉ 	አስተካከለ	
adjutant 	n	ረዳኢ፣ ሓጋዚ	ረዳት	
administration 	n	ምምሕዳር	አስተዳደር	
administrator 	n	አማሓዳሪ	አስተዳዳሪ	
admiral 	n	ዋና አዛዚ ሓይሊ ባሕሪ	የባህር ሀይል አዛዥ	
adolescent 	n	ኮርዒዳ፣ መንእሰይ	ጎረምሳ፣ ኮረዳ 	
adoration 	n	ምኽባር 	ማክበር	
adore 	v	ኣፍቂሩ	አፈቀረ	
adorn 	v	አጋይዑ፣ አመልኪዑ	አስጌጠ	
adroit 	adj	ፈላጢ፣ መይላ ዘለዎ	ዘዴኛ	
adult 	adj	በዕሒ፣ ንዓቐሚ ኣዳም ዝበዕሓ	ገጎልማሳ፣ አዋቂ	
adulteress 	n	ዘማዊ ሰበይቲ	ዘማዊ ሴት	
adultery 	n	ዝሙት፣ ዕጥራን	ዝሙት	
advanced 	adj	ላዕለዋይ	ከፍተኛ	
adventitious 	adj	ተወሳኺ	ተጨማሪ፣ በአጋጣሚ የሚመጣ	
adversity 	n	መከራ፣ ስቓይ	መከራ	
advertisement 	n	ሓበሬታኣቑሑ ንምሣጥን ንምግዛእን ዝማሓለለፍ	ማስታወቂያ	
advertiser 	n	ሓበባሪ ምልክታ፣ መፋለቲ	አስተዋዋቂ	
advertise 	v	ምልክታ ምትሕልላፍ	ማስታወቅ	
advisory 	adj	ማአማኻሪ	አማካሪ	
advocate 	n	ጠበቓ	ጠበቃ	
adze 	n	ማሕዐ፣ ምሳር	መጥረቢያ	
aerial 	n	ኣንቴና	አንቴና	
afar 	adv	ርሑቕ	ሩቅ	
affection 	n	ፍቕሪ	ፍቅር	
affiliation 	v	ሕውነት	ዝምድና	
affinity 	n	ተመሳሳሊ	ተመሳሳይ	
afflict 	v	ብጣዕሚ ጎዲኡ	በጣም ጎዳ	
afflient 	n	ብዓልአጋ	ባለፀጋ	
afford 	v	ሃበ	ሰጠ	
affromt 	v	ኣዋሪዱ	አዋረደ	
afoot 	adv,adj	ብእግሪ	በእግር	
afraid 	v	ፈራሕ ምኻን	መፍራት	
after 	prep	ድሕሪ	በ-ኃላ	
again 	adv	ከምባሓዱሽ፣ እንደገና	እንደገና	
against 	prep	ኣንፃር	ከ-አንፃር	
age 	n	ዕድመ	ዕድሜ	
aged 	adj	ብዕድመ ዝበሰለ	በዕድሜ የበሰለ	
agent 	n	ወኪል	ወኪል	
aggrandize 	vt	ኣዕቢዩ	አሳደገ	
aggravate 	adj	አጋዲዱዎ	አባባሰ	
aggregate 	vt	አጠቓሊሉ	አጠቃለለ	
aghast 	adj	ደንጊዑ	ክው ክሎ ደነገጠ	
aglow 	adj	ኣብሪሁ	አበራ	
